text,category,priority
"Lift not working from morning in main building",Infrastructure,Medium

"No water supply in washroom second floor",Water,Medium

"WiFi not working in classroom 105",Network,Medium

"Street light is broken near parking area",Infrastructure,Medium

"Electricity fluctuation in hostel room",Electricity,Medium

"Washroom cleaning not done since yesterday",Cleanliness,Medium

"Fan not working in computer lab",Electricity,Medium

"Mess drinking water cooler not working",Mess,Medium

"Garbage overflow near hostel gate",Cleanliness,Medium

"Water leakage from ceiling in classroom",Infrastructure,Medium
"Water pressure is too low in hostel washroom",Water,Medium
"Water supply stopped in block C since evening",Water,Medium
"Drinking water cooler is leaking",Water,Medium
"Bathroom tap is not working properly",Water,Medium
"Water pipe burst near hostel entrance",Water,Medium

"WiFi not connecting in library area",Network,Medium
"Internet speed is very slow in lab",Network,Medium
"Mobile network is not available in classroom",Network,Low
"Campus WiFi login not working",Network,Low
"Router needs restart in hostel block D",Network,Medium

"Switch board is damaged in my room",Electricity,Medium
"Light not working in classroom 201",Electricity,Low
"Frequent power cuts in hostel at night",Electricity,Medium
"Fan making noise and not rotating",Electricity,Low
"Charging points not working in lab",Electricity,Medium

"Classroom is not cleaned properly",Cleanliness,Medium
"Garbage collection is irregular in hostel",Cleanliness,Medium
"Washroom cleaning staff not coming daily",Cleanliness,Medium
"Bad smell in corridor due to trash",Cleanliness,Medium
"Campus ground is full of waste and plastic",Cleanliness,Medium

"Mess food is cold and tasteless today",Mess,Low
"Mess food contains hair and is unhygienic",Mess,High
"Water dispenser in mess is not working",Mess,Medium
"Mess plates are dirty and oily",Mess,Medium
"Mess staff arguing with students",Mess,Low

"Faculty is not explaining concepts properly",Academics,Low
"Class timings changed without notice",Academics,Low
"Lab experiment instructions are not clear",Academics,Medium
"Need extra classes for difficult subject",Academics,Low
"Project evaluation feels unfair",Academics,Low

"Placement cell is not responding to emails",Placements,Low
"Internship opportunities are not being shared",Placements,Low
"Need mock interview sessions for placement",Placements,Low
"Not getting updates about upcoming companies",Placements,Low
"Placement training schedule is confusing",Placements,Low

"Classroom projector is not working",Infrastructure,Medium
"Lift is stuck on second floor",Infrastructure,High
"Benches are broken and unsafe to sit",Infrastructure,Medium
"Ceiling is leaking during rain in class",Infrastructure,Medium
"Hostel room door lock is broken",Infrastructure,Medium

"Fee receipt is not generated after payment",Fees,High
"Scholarship portal shows error while applying",Fees,Medium
"Need installment option for fee payment",Fees,Low
"Exam fee is showing double amount",Fees,Medium
"Refund request not processed yet",Fees,Medium

"Lost my college ID card near canteen",Other,Low
"Need bonafide certificate for scholarship",Other,Low
"Bus facility timing information required",Other,Low
"Library book issue and return date confusion",Other,Low
"Need help finding lost umbrella",Other,Low

"Fuse is blown in hostel room switchboard",Electricity,Medium
"MCB tripped and no power in my room",Electricity,Medium
"Short circuit smell from switch board",Electricity,High
"Electric socket spark is coming",Electricity,High
"Voltage fluctuation damaged the charger",Electricity,Medium

"MCB tripped again and again in my room",Electricity,Medium
"Socket is sparking while charging phone",Electricity,High
"Switchboard is burnt and smells like smoke",Electricity,High
"Voltage fluctuation caused laptop to shut down",Electricity,Medium
"Power supply is unstable and lights are flickering",Electricity,Medium
